CODICE_COMUNE,num_strade,num_civici,num_civici_con_coord,CODICE_ISTAT
A987,54,1094,0,034005
A988,96,2448,0,035005
A989,50,802,0,018015
A990,110,2584,33,001028
A991,309,6557,0,082013
A992,51,890,0,011006
A993,56,676,0,008009
A995,121,1844,0,098004
A996,64,1213,0,057008
A998,140,2793,0,006018
A999,148,2248,0,009012
B001,86,1703,0,040004
B002,258,6301,0,079011
B003,31,388,0,001029
B005,81,3125,0,009013
B006,147,3707,0,022022
B007,462,5955,625,046004
B008,416,6332,0,057007
B009,84,1803,0,002015
B010,30,621,0,016032
B012,62,1542,1,020037
B014,28,506,0,018154
B015,130,2142,0,001030
B016,98,1143,0,003023
B017,70,1254,0,098005
B018,13,280,0,004024
B019,231,6183,19,003024
B020,93,1762,0,008010
B021,55,591,0,001031
B024,36,1015,0,001032
B025,300,7789,0,033006
B026,96,921,0,041006
B028,73,853,0,018016
B029,31,406,0,006019
B030,33,403,0,018017
B031,90,3325,0,028013
B033,269,4829,0,004025
B034,357,6147,10,034014
B035,133,2185,0,017020
B036,243,7540,0,048004
B037,42,790,0,006020
B038,44,642,0,018018
B040,121,3689,0,017021
B041,294,5066,0,002016
B042,429,4402,2162,034006
B043,116,2288,2,003025
B044,76,2066,0,037007
B046,97,859,0,002017
B048,17,458,0,009014
B049,190,2557,23,014009
B051,44,623,0,018019
B054,120,2161,0,017022
B055,28,191,188,095016
B056,215,2868,0,091011
B057,38,665,118,069007
B058,13,415,0,096006
B061,75,2930,0,026004
B062,98,1147,0,091012
B063,69,790,0,090014
B064,27,339,0,090015
B067,276,2346,0,010005
B068,409,3644,0,095079
B069,35,828,2,029007
B070,34,1219,0,023010
B071,88,2279,0,006021
B073,328,4435,0,023011
B075,86,1659,0,001033
B076,143,11095,0,063008
B077,92,4569,0,063009
B079,19,231,0,004026
B080,110,802,0,006022
B081,77,791,746,097009
B082,32,577,0,018020
B083,44,869,0,016033
B084,80,584,0,004027
B085,182,3957,0,079012
B086,121,3956,0,075009
B088,107,2024,0,016034
B091,117,3205,0,017023
B094,44,972,0,090016
B097,44,579,0,080011
B098,397,6227,0,080012
B099,150,1748,0,080013
B100,159,1194,0,017024
B101,242,5293,0,004028
B102,76,1644,0,017025
B104,274,2958,0,071007
B105,190,3973,0,108010
B106,63,1478,0,028014
B107,291,6244,0,023012
B109,24,291,0,006023
B110,85,2900,0,020007
B111,263,10579,0,004029
B112,30,395,395,016035
B114,321,5926,0,058013
B115,130,3194,0,065016
B116,3,276,0,021009
B117,40,1366,0,018021
B118,79,758,0,080014
B120,44,599,0,017026
B121,141,2717,2717,001034
B123,33,778,0,016036
B124,34,384,156,017027
B126,73,1103,0,012017
B128,176,3241,0,026005
B129,102,2149,0,019026
B132,156,4753,0,024014
B134,92,1911,35,013028
B137,159,3390,0,016037
B138,93,2807,0,016038
B141,65,981,0,098006
B142,38,989,0,018022
B143,139,4474,0,024015
B144,56,539,0,013029
B145,25,778,0,021010
B149,167,2634,0,017028
B150,104,1200,11,012019
B152,68,992,0,023013
B153,191,2633,0,022025
B154,129,1767,0,023014
B156,145,2524,1,035006
B157,1392,52263,14714,017029
B158,14,161,0,022026
B159,67,2172,0,018023
B160,221,4934,0,021011
B161,41,1841,18,024016
B162,108,3000,0,015032
B166,72,1545,0,012020
B167,5,191,0,004030
B169,89,384,0,102003
B171,102,2481,67,001035
B172,29,319,0,013030
B173,138,4010,0,076013
B175,41,584,0,004031
B176,50,1003,0,003026
B178,69,1978,0,016040
B179,60,524,0,006024
B180,1206,31618,0,074001
B181,135,1203,0,076014
B182,34,385,0,012021
B183,65,399,0,003027
B184,68,384,0,017030
B187,143,1969,0,108011
B188,250,4396,0,039004
B191,49,668,0,012022
B192,41,751,0,007011
B193,43,500,15,068004
B194,110,1513,0,097010
B195,56,1440,0,060015
B196,71,2100,2,024017
B197,38,947,0,102004
B198,115,4104,0,083007
B200,12,272,0,004032
B201,143,5086,188,018024
B202,882,9701,0,087009
B203,26,555,0,021012
B204,127,1164,0,004033
B205,98,573,0,001036
B207,82,673,0,103013
B209,36,462,459,001037
B212,218,7716,6,108012
B213,86,2482,12,028015
B214,42,839,0,011007
B215,127,3820,0,093007
B216,129,3685,28,001038
B217,25,282,282,016041
B218,38,860,0,013032
B219,28,408,0,012023
B220,177,4210,0,021013
B221,26,352,0,005010
B223,110,1675,0,016042
B225,55,866,0,001039
B227,120,3420,0,063010
B228,41,608,0,012024
B229,50,1215,0,096007
B230,75,2346,3,007012
B232,62,853,0,001040
B234,76,2453,0,080015
B235,36,565,0,015035
B236,35,548,0,005011
B237,221,3619,0,089003
B238,78,2373,0,069008
B239,78,1272,0,062010
B240,162,3284,0,015036
B242,204,5083,0,065017
B243,585,5400,0,051005
B246,231,2094,0,090017
B247,76,2063,1,093008
B248,160,2751,0,090091
B249,281,5829,0,037008
B250,63,2188,0,111006
B251,174,4260,0,047003
B255,111,1036,0,014010
B256,89,3314,0,066012
B258,41,1045,1,012025
B259,221,5464,5,030013
B261,40,612,0,097011
B262,63,811,26,013034
B264,62,1405,0,090018
B265,44,663,0,090019
B266,119,2597,0,065018
B267,126,1223,0,062011
B268,42,406,28,069009
B269,371,2096,0,052003
B270,45,963,0,078020
B272,70,1190,0,108013
B274,118,2694,3,111007
B275,191,3355,0,084005
B276,40,802,0,090020
B278,48,695,0,001041
B279,58,769,0,001042
B280,100,659,0,002021
B281,105,2051,0,095017
B282,91,2346,0,010006
B284,42,627,0,001043
B285,301,3703,66,004034
B286,136,2362,0,015038
B287,198,2307,0,089004
B288,182,4410,0,081002
B289,61,1389,0,108051
B292,108,1240,0,015040
B293,139,4482,0,034007
B294,71,2322,0,068005
B295,81,1093,0,070005
B296,329,6161,0,023015
B297,128,2567,41,001044
B300,993,13325,0,012026
B301,257,5584,0,015041
B302,224,5880,0,085003
B303,167,4440,0,050002
B304,111,2176,0,023016
B305,68,1718,0,001045
B306,54,1571,0,005012
B309,77,2111,0,030014
B310,93,1608,0,016189
B311,68,1141,0,006025
B312,33,392,0,012043
B313,124,3963,74,013035
B314,509,6241,0,095018
B315,487,6167,0,082014
B317,70,917,0,094037
B319,120,2515,0,101002
B326,79,874,0,012027
B328,166,3977,0,035008
B332,162,1784,0,033007
B335,68,503,0,022029
B345,216,4924,0,028016
B346,104,1482,0,013036
B349,101,3218,0,026006
B350,52,1521,0,001046
B351,149,2676,0,065019
B352,168,6769,0,041007
B354,1538,48270,0,092009
B355,38,457,0,013037
B357,444,4072,0,071008
B358,125,1342,1,066013
B361,63,788,0,061008
B362,184,4327,0,061009
B364,3,99,0,021014
B365,57,650,0,017031
B366,73,452,0,014011
